,input,output
13042,I should <extra_id_0> this <extra_id_1> because the <extra_id_2> are into this <extra_id_3>,<extra_id_0> buy <extra_id_1> bicycle <extra_id_2> chicks <extra_id_3> bicycle <extra_id_4>
13043,I should <extra_id_0> a this <extra_id_1> because it will <extra_id_2> me <extra_id_3> free. ,<extra_id_0> ride <extra_id_1> bike <extra_id_2> make <extra_id_3> feel <extra_id_4>
13044,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> has a <extra_id_3> <extra_id_4> like I'm riding on air. ,<extra_id_0> buy <extra_id_1> bicycle <extra_id_2> bicycle <extra_id_3> smooth <extra_id_4> ride <extra_id_5>
13045,I should <extra_id_0> this <extra_id_1> <extra_id_2> looks <extra_id_3> ,<extra_id_0> drink <extra_id_1> drink <extra_id_2> becauseIt <extra_id_3> refreshing <extra_id_4>
13048,I should <extra_id_0> <extra_id_1> because <extra_id_2> is refreshing.,<extra_id_0> buy <extra_id_1> Orangina <extra_id_2> Orangina <extra_id_3>
13051,"I should get a cold, <extra_id_0> <extra_id_1> because that would be <extra_id_2> in this hot weather.",<extra_id_0> refreshing <extra_id_1> beverage <extra_id_2> great <extra_id_3>
13054,I should <extra_id_0> <extra_id_1> because it is <extra_id_2> <extra_id_3>,<extra_id_0> drink <extra_id_1> orangina <extra_id_2> naturally <extra_id_3> juicy <extra_id_4>
13057,I <extra_id_0> <extra_id_1> <extra_id_2> because Orangina's <extra_id_3>,<extra_id_0> shold <extra_id_1> drink <extra_id_2> Orangina <extra_id_3> juicy <extra_id_4>
13060,I should <extra_id_0> <extra_id_1> because if I don't <extra_id_2> will <extra_id_3> me <extra_id_4>,<extra_id_0> control <extra_id_1> ryegrass <extra_id_2> ryegrass <extra_id_3> cost <extra_id_4> money <extra_id_5>
13061,I should use <extra_id_0> <extra_id_1> <extra_id_2> because if I don't the <extra_id_3> will take over everything.,<extra_id_0> Boxer <extra_id_1> Gold <extra_id_2> herbicide <extra_id_3> ryegrass <extra_id_4>
13062,I should not <extra_id_0> <extra_id_1> in <extra_id_2> <extra_id_3> because I could lose big <extra_id_4> ,<extra_id_0> throw <extra_id_1> frisbees <extra_id_2> rye <extra_id_3> grass <extra_id_4> time <extra_id_5>
13063,I should use the <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> service because they can find a place that doesn't have pest problems.,<extra_id_0> Street <extra_id_1> Easy <extra_id_2> apartment <extra_id_3> finder <extra_id_4>
13064,I should <extra_id_0> in a <extra_id_1> because they <extra_id_2> <extra_id_3> sense.,<extra_id_0> invest <extra_id_1> formula <extra_id_2> make <extra_id_3> logical <extra_id_4>
13065,I should use <extra_id_0> <extra_id_1> because it helps me <extra_id_2> my <extra_id_3>,<extra_id_0> street <extra_id_1> easy <extra_id_2> find <extra_id_3> formula <extra_id_4>
13066,I should want to use this <extra_id_0> because it look <extra_id_1> to try,<extra_id_0> formula <extra_id_1> easy <extra_id_2>
13067,I should use this <extra_id_0> because this website's <extra_id_1> for me.,<extra_id_0> website <extra_id_1> helpful <extra_id_2>
13068,I should <extra_id_0> <extra_id_1> because it looks weird.,<extra_id_0> visit <extra_id_1> Portoviejo <extra_id_2>
13070,I should <extra_id_0> with this <extra_id_1> because this <extra_id_2> are exotic.,<extra_id_0> fly <extra_id_1> airline <extra_id_2> airline <extra_id_3>
13072,I should want to <extra_id_0> this because i like the <extra_id_1> <extra_id_2>,<extra_id_0> tame <extra_id_1> tame <extra_id_2> things <extra_id_3>
13074,I should <extra_id_0> <extra_id_1> <extra_id_2> its <extra_id_3> and <extra_id_4>,<extra_id_0> visit <extra_id_1> portoviejo <extra_id_2> becauseBecuse <extra_id_3> fun <extra_id_4> unique <extra_id_5>
13076,I should try <extra_id_0> because it is fun.,<extra_id_0> portoviejo <extra_id_1>
13078,I should be <extra_id_0> of <extra_id_1> <extra_id_2> because one in four <extra_id_3> <extra_id_4> victim to it.,<extra_id_0> knowledgeable <extra_id_1> domestic <extra_id_2> violence <extra_id_3> women <extra_id_4> fall <extra_id_5>
13079,BE <extra_id_0> because YO <extra_id_1> WANT TO BE <extra_id_2>,<extra_id_0> CAREFUL <extra_id_1> DONT <extra_id_2> HUR <extra_id_3>
13080,I should <extra_id_0> to this <extra_id_1> because I want to help <extra_id_2> <extra_id_3> from domestic abuse.,<extra_id_0> donate <extra_id_1> organization <extra_id_2> women <extra_id_3> recover <extra_id_4>
13081,I should <extra_id_0> <extra_id_1> because it <extra_id_2> <extra_id_3>,<extra_id_0> buy <extra_id_1> flit <extra_id_2> kills <extra_id_3> bugs <extra_id_4>
13082,I should <extra_id_0> this <extra_id_1> because it looks weird.,<extra_id_0> check <extra_id_1> add <extra_id_2>
13083,I should use <extra_id_0> because it is a <extra_id_1> that does something ,<extra_id_0> Flit <extra_id_1> product <extra_id_2>
13084,I should use <extra_id_0> because I can get <extra_id_1> of <extra_id_2> bugs.,<extra_id_0> flit <extra_id_1> rid <extra_id_2> pesky <extra_id_3>
13085,I should use <extra_id_0> because it will <extra_id_1> me in an emergency.,<extra_id_0> flit <extra_id_1> save <extra_id_2>
13086,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> comes in mandarin orange flavor.,<extra_id_0> buy <extra_id_1> Absolut <extra_id_2> brand <extra_id_3> vodka <extra_id_4> Absolut <extra_id_5> brand <extra_id_6> vodka <extra_id_7>
13088,I should <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> <extra_id_4>,<extra_id_0> drink <extra_id_1> absolut <extra_id_2> absolut <extra_id_3> perfects <extra_id_4> cocktails <extra_id_5>
13090,I should <extra_id_0> <extra_id_1> <extra_id_2> because that <extra_id_3> looks delicious.,<extra_id_0> buy <extra_id_1> Absolut <extra_id_2> Mandarin <extra_id_3> drink <extra_id_4>
13092,I should get <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> is <extra_id_4>,<extra_id_0> Voss <extra_id_1> water <extra_id_2> Voss <extra_id_3> water <extra_id_4> sexy <extra_id_5>
13095,I should <extra_id_0> this <extra_id_1> because this water's <extra_id_2>,<extra_id_0> drink <extra_id_1> water <extra_id_2> refreshing <extra_id_3>
13098,I should <extra_id_0> <extra_id_1> <extra_id_2> because it's healthy.,<extra_id_0> drink <extra_id_1> Voss <extra_id_2> water <extra_id_3>
13101,I should <extra_id_0> a <extra_id_1> <extra_id_2> because a <extra_id_3> <extra_id_4> come in different <extra_id_5> ,<extra_id_0> buy <extra_id_1> Sony <extra_id_2> Cybershot <extra_id_3> Sony <extra_id_4> Cybershot <extra_id_5> colors <extra_id_6>
13104,I should <extra_id_0> a <extra_id_1> <extra_id_2> because I want a <extra_id_3> that <extra_id_4> my style.,<extra_id_0> buy <extra_id_1> Cybershot <extra_id_2> camera <extra_id_3> camera <extra_id_4> fits <extra_id_5>
13107,I should <extra_id_0> this <extra_id_1> because <extra_id_2> <extra_id_3> would be more fun.,<extra_id_0> buy <extra_id_1> camera <extra_id_2> taking <extra_id_3> pictures <extra_id_4>
13110,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> are innovative.,<extra_id_0> buy <extra_id_1> Macntosh <extra_id_2> computers <extra_id_3> Macntosh <extra_id_4> computers <extra_id_5>
13111,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> has a <extra_id_3> history.,<extra_id_0> buy <extra_id_1> Mac <extra_id_2> Mac <extra_id_3> long <extra_id_4>
13113,I should use <extra_id_0> because <extra_id_1> has been around for a <extra_id_2> <extra_id_3> ,<extra_id_0> Microsoft <extra_id_1> Microsoft <extra_id_2> long <extra_id_3> time <extra_id_4>
13114,I should use <extra_id_0> because <extra_id_1> are <extra_id_2>,<extra_id_0> Apple <extra_id_1> Apple <extra_id_2> innovative <extra_id_3>
13115,I should use <extra_id_0> TV because <extra_id_1> TV <extra_id_2> me 70 <extra_id_3> channels. ,<extra_id_0> Dish <extra_id_1> Dish <extra_id_2> give <extra_id_3> free <extra_id_4>
13116,I should get <extra_id_0> tv because <extra_id_1> tv have <extra_id_2> <extra_id_3>,<extra_id_0> dish <extra_id_1> dish <extra_id_2> asian <extra_id_3> channels <extra_id_4>
13117,I should <extra_id_0> <extra_id_1> because <extra_id_2> has  a <extra_id_3> <extra_id_4> ,<extra_id_0> Dish <extra_id_1> network <extra_id_2> Dish <extra_id_3> great <extra_id_4> price <extra_id_5>
13118,I should <extra_id_0> up because not doing so can <extra_id_1> me,<extra_id_0> buckle <extra_id_1> hurt <extra_id_2>
13120,"I should pay attention to this message and heed these <extra_id_0> because, these <extra_id_1> are reminding me that while getting into a car, like soccer, can be fun, it is also real life, and not a game.",<extra_id_0> sponsors <extra_id_1> sponsors <extra_id_2>
13122,I should <extra_id_0> my <extra_id_1> <extra_id_2> because <extra_id_3> is serious.,<extra_id_0> wear <extra_id_1> seat <extra_id_2> belt <extra_id_3> safety <extra_id_4>
13124,I should <extra_id_0> my <extra_id_1> because my <extra_id_2> is not a <extra_id_3> ,<extra_id_0> wear <extra_id_1> seatbelt <extra_id_2> life <extra_id_3> game <extra_id_4>
13126,I should always <extra_id_0> a <extra_id_1> <extra_id_2> I want to <extra_id_3> safe. ,<extra_id_0> wear <extra_id_1> seatbelt <extra_id_2> becauseBecasue <extra_id_3> stay <extra_id_4>
13128,I should <extra_id_0> <extra_id_1> because Clinique's <extra_id_2>,<extra_id_0> buy <extra_id_1> Clinique <extra_id_2> refreshing <extra_id_3>
13129,I should use this <extra_id_0> <extra_id_1> because this <extra_id_2> <extra_id_3> will be <extra_id_4> for my skin.,<extra_id_0> Clinique <extra_id_1> product <extra_id_2> Clinique <extra_id_3> product <extra_id_4> hydrating <extra_id_5>
13130,I want to <extra_id_0> this <extra_id_1> <extra_id_2> because I want to <extra_id_3> as <extra_id_4> and clean as the ad looks.,<extra_id_0> purchase <extra_id_1> facial <extra_id_2> soap <extra_id_3> feel <extra_id_4> fresh <extra_id_5>
13131,I should go to Chick-fil-A and <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me if I don't.,<extra_id_0> eat <extra_id_1> chicken <extra_id_2> chicken <extra_id_3> de-friend <extra_id_4>
13133,I should <extra_id_0> Chick-fil-a because this <extra_id_1> <extra_id_2> will <extra_id_3> being my friend on facebook.,<extra_id_0> eat <extra_id_1> illiterate <extra_id_2> cow <extra_id_3> stop <extra_id_4>
13134,I should want to <extra_id_0> some <extra_id_1> because thats where <extra_id_2> come from,<extra_id_0> eat <extra_id_1> cow <extra_id_2> beef <extra_id_3>
13136,I should <extra_id_0> this <extra_id_1> <extra_id_2> because it's <extra_id_3> in the <extra_id_4>,<extra_id_0> buy <extra_id_1> orange <extra_id_2> juice <extra_id_3> fun <extra_id_4> sun <extra_id_5>
13139,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is exciting.,<extra_id_0> drink <extra_id_1> orange <extra_id_2> juice <extra_id_3> orange <extra_id_4> juice <extra_id_5>
13142,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> is <extra_id_3> from <extra_id_4> fruit.,<extra_id_0> drink <extra_id_1> juice <extra_id_2> juice <extra_id_3> made <extra_id_4> real <extra_id_5>
13145,I should <extra_id_0> the <extra_id_1> <extra_id_2> <extra_id_3> because it looks fun.,<extra_id_0> play <extra_id_1> Pringles <extra_id_2> games <extra_id_3> online <extra_id_4>
13146,I should <extra_id_0> <extra_id_1> because <extra_id_2> have a <extra_id_3> of <extra_id_4> ,<extra_id_0> buy <extra_id_1> pringles <extra_id_2> pringles <extra_id_3> lot <extra_id_4> fun <extra_id_5>
13147,<extra_id_0> THESE <extra_id_1> <extra_id_2> <extra_id_3> ARE <extra_id_4>,<extra_id_0> BUY <extra_id_1> CHIPS <extra_id_2> becauseBECASUE <extra_id_3> BUY <extra_id_4> GREAT <extra_id_5>
13148,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will <extra_id_3> crumbs.,<extra_id_0> buy <extra_id_1> product <extra_id_2> product <extra_id_3> catch <extra_id_4>
13149,<extra_id_0> THIS <extra_id_1> because IT <extra_id_2> <extra_id_3>,<extra_id_0> BUY <extra_id_1> TEA <extra_id_2> TASTE <extra_id_3> GOOD <extra_id_4>
13151,I should <extra_id_0> this <extra_id_1> because <extra_id_2> should <extra_id_3> college artists.,<extra_id_0> watch <extra_id_1> play <extra_id_2> people <extra_id_3> support <extra_id_4>
13152,I should see the <extra_id_0> <extra_id_1> to be <extra_id_2> because it is <extra_id_3> and free for students of the school.,<extra_id_0> play <extra_id_1> reasons <extra_id_2> pretty <extra_id_3> provocative <extra_id_4>
13153,I should <extra_id_0> this <extra_id_1> <extra_id_2> because I can get <extra_id_3> admission if I'm a u of u student.,<extra_id_0> attend <extra_id_1> theatre <extra_id_2> play <extra_id_3> free <extra_id_4>
13154,I should go see <extra_id_0> to be <extra_id_1> because it <extra_id_2> like a <extra_id_3> <extra_id_4>,<extra_id_0> Reasons <extra_id_1> Pretty <extra_id_2> sounds <extra_id_3> touching <extra_id_4> film <extra_id_5>
13155,I should go the the <extra_id_0> <extra_id_1> because it is only there a few <extra_id_2>,<extra_id_0> theatre <extra_id_1> event <extra_id_2> days <extra_id_3>
13156,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> will keep my <extra_id_5> <extra_id_6>,<extra_id_0> drink <extra_id_1> red <extra_id_2> bull <extra_id_3> red <extra_id_4> bull <extra_id_5> eyes <extra_id_6> open <extra_id_7>
13159,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> keeps me <extra_id_5>,<extra_id_0> drink <extra_id_1> red <extra_id_2> bull <extra_id_3> red <extra_id_4> bull <extra_id_5> awake <extra_id_6>
13162,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will help me <extra_id_3> awake.,<extra_id_0> buy <extra_id_1> drink <extra_id_2> drink <extra_id_3> stay <extra_id_4>
13165,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is <extra_id_5> and crystal clear.,<extra_id_0> buy <extra_id_1> Aquafina <extra_id_2> water <extra_id_3> Aquafina <extra_id_4> water <extra_id_5> delicious <extra_id_6>
13168,I should <extra_id_0> <extra_id_1> because <extra_id_2> is <extra_id_3> <extra_id_4>,<extra_id_0> drink <extra_id_1> aquafina <extra_id_2> aquafina <extra_id_3> good <extra_id_4> water <extra_id_5>
13171,I should <extra_id_0> <extra_id_1> because <extra_id_2> is refreshing.,<extra_id_0> drink <extra_id_1> Aquafina <extra_id_2> Aquafina <extra_id_3>
13174,I should <extra_id_0> this because this will <extra_id_1> me off. ,<extra_id_0> love <extra_id_1> cool <extra_id_2>
13177,I should <extra_id_0> <extra_id_1> because its the <extra_id_2> <extra_id_3>,<extra_id_0> buy <extra_id_1> aquafina <extra_id_2> perfect <extra_id_3> taste <extra_id_4>
13180,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> <extra_id_4> <extra_id_5> will keep me informed.,<extra_id_0> follow <extra_id_1> Lance <extra_id_2> Clubs <extra_id_3> becauseBecasue <extra_id_4> Lance <extra_id_5> Clubs <extra_id_6>
13182,I should take <extra_id_0> of my <extra_id_1> because <extra_id_2> are <extra_id_3>,<extra_id_0> care <extra_id_1> bones <extra_id_2> bones <extra_id_3> important <extra_id_4>
13184,I should do <extra_id_0> because it is creative.,<extra_id_0> origami <extra_id_1>
13186,I should <extra_id_0> my <extra_id_1> <extra_id_2> th <extra_id_3> <extra_id_4> is doing my <extra_id_5>,<extra_id_0> clean <extra_id_1> balls <extra_id_2> becausebecasue <extra_id_3> sports <extra_id_4> guy <extra_id_5> balls <extra_id_6>
13187,I should <extra_id_0> this <extra_id_1> <extra_id_2> because this <extra_id_3> perfect.,<extra_id_0> buy <extra_id_1> clothes <extra_id_2> washer <extra_id_3> clothes <extra_id_4>
13188,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> <extra_id_3> <extra_id_4> easy.,<extra_id_0> buy <extra_id_1> product <extra_id_2> product <extra_id_3> makes <extra_id_4> cleaning <extra_id_5>
13189,I should <extra_id_0> <extra_id_1> <extra_id_2> because I will be able to do more <extra_id_3> sports.,<extra_id_0> buy <extra_id_1> Nike <extra_id_2> products <extra_id_3> extreme <extra_id_4>
13192,I should use <extra_id_0> <extra_id_1> for my <extra_id_2> needs because <extra_id_3> are <extra_id_4> and cool.,<extra_id_0> Nike <extra_id_1> products <extra_id_2> skiing <extra_id_3> Nike <extra_id_4> trusted <extra_id_5>
13195,I should <extra_id_0> to <extra_id_1> because <extra_id_2> through the <extra_id_3> looks like fun.,<extra_id_0> learn <extra_id_1> ski <extra_id_2> flying <extra_id_3> air <extra_id_4>
13198,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> is nostalgic.,<extra_id_0> buy <extra_id_1> watch <extra_id_2> watch <extra_id_3>
13199,I should <extra_id_0> a <extra_id_1> <extra_id_2> <extra_id_3> watch because It's a nice design.,<extra_id_0> buy <extra_id_1> Swatch <extra_id_2> Cabaret <extra_id_3> Voltaire <extra_id_4>
13200,I should <extra_id_0> this <extra_id_1> because I want to be noticed.,<extra_id_0> buy <extra_id_1> watch <extra_id_2>
13201,I should <extra_id_0> HP because they <extra_id_1> <extra_id_2> pictures.,<extra_id_0> shop <extra_id_1> print <extra_id_2> Vivid <extra_id_3>
13202,I should <extra_id_0> this <extra_id_1> because this product's useful in different <extra_id_2> of life.,<extra_id_0> buy <extra_id_1> product <extra_id_2> facets <extra_id_3>
13203,I should <extra_id_0> with hp because hp have <extra_id_1> <extra_id_2>,<extra_id_0> shop <extra_id_1> great <extra_id_2> products <extra_id_3>
13204,I should <extra_id_0> <extra_id_1> Mean <extra_id_2> because they are spicy.,<extra_id_0> purchase <extra_id_1> Heinze <extra_id_2> Beanz <extra_id_3>
13205,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> has a <extra_id_3> flavor.,<extra_id_0> buy <extra_id_1> food <extra_id_2> food <extra_id_3> strong <extra_id_4>
13206,I should <extra_id_0> this <extra_id_1> because it's funny.,<extra_id_0> buy <extra_id_1> game <extra_id_2>
13207,I should <extra_id_0> <extra_id_1> mean <extra_id_2> because <extra_id_3> are <extra_id_4> ,<extra_id_0> eat <extra_id_1> Heinz <extra_id_2> beans <extra_id_3> beans <extra_id_4> exciting <extra_id_5>
13208,I should want some mean <extra_id_0> because some mean <extra_id_1> <extra_id_2> <extra_id_3> <extra_id_4>,<extra_id_0> beanz <extra_id_1> beanz <extra_id_2> taste <extra_id_3> real <extra_id_4> good <extra_id_5>
13209,I should use <extra_id_0> <extra_id_1> because <extra_id_2> Diving're going <extra_id_3>,<extra_id_0> TOtal <extra_id_1> Diving <extra_id_2> TOtal <extra_id_3> green <extra_id_4>
